Name,Player Id
2018,André Schürrle,77461
2018,Javier Manquillo,109227
2018,Christopher Schindler,132360
2018,Matteo Darmian,23220
2018,Terence Kongolo,109117
2018,Alex McCarthy,38577
2018,Danny Simpson,23683
2018,Jack Cork,22847
2018,Divock Origi,124688
2018,Yerry Mina,318432
2018,Ki Sung-Yueng,42916
2018,Sergio Rico,109338
2018,Mohamed Diamé,27188
2018,Álvaro Morata,91213
2018,Wayne Hennessey,21571
2018,Cédric Soares,69945
2018,Kiko Femenía,75919
2018,Harry Winks,143990
2018,Jean Michaël Seri,136262
2018,Mattéo Guendouzi,328983
2018,Lee Peltier,22654
2018,Josh Murphy,136783
2018,Kasper Schmeichel,19545
2018,Adam Lallana,21683
2018,Kenedy,132838
2018,Samir Nasri,13298
2018,Victor Wanyama,71714
2018,Jack Stephens,92550
2018,Phil Foden,331254
2018,Ken Sema,145392
2018,Jonas Lössl,131171
2018,David de Gea,79554
2018,Alex Pritchard,107848
2018,Mohamed Elyounoussi,141732
2018,Theo Walcott,13796
2018,Demarai Gray,136945
2018,Leon Balogun,43362
2018,Stuart Armstrong,93677
2018,Shane Long,13798
2018,DeAndre Yedlin,126958
2018,Dominic Solanke,136459
2018,Jordan Ayew,67491
2018,Jordan Pickford,110189
2018,Beram Kayal,33318
2018,Fred,114397
2018,Juninho Bacuna,261143
2018,Fernando Llorente,13361
2018,Bruno,23957
2018,Max Meyer,124598
2018,Scott McTominay,336915
2018,Luciano Vietto,125543
2018,Phil Jagielka,6105
2018,Chris Mepham,342842
2018,Ademola Lookman,299451
2018,Emerson Hyndman,231119
2018,Junior Hoilett,35460
2018,Rui Patrício,23089
2018,Joe Ralls,108093
2018,Steven Davis,9734
2018,Conor Coady,97710
2018,Marcus Bettinelli,135768
2018,Charlie Daniels,24827
2018,Mohamed Elneny,125209
2018,Pedro Obiang,70676
2018,Christian Atsu,96257
2018,Mason Greenwood,367782
2018,Cenk Tosun,77438
2018,Domingos Quina,331582
2018,Olivier Giroud,24444
2018,Nathaniel Clyne,69375
2018,Alfie Mawson,135727
2018,Oumar Niasse,111141
2018,Greg Cunningham,83394
2018,Rachid Ghezzal,95423
2018,Jon Gorenc Stankovic,254128
2018,Ryan Sessegnon,322611
2018,Karlan Grant,244568
2018,Mathew Ryan,81523
2018,Jack Simpson,302862
2018,Rúben Vinagre,342863
2018,Bobby De Cordova-Reid,134332
2018,Daniel Sturridge,23736
2018,Michael Obafemi,351355
2018,Joselu,74603
2018,Florent Hadërgjonaj,136896
2018,Junior Stanislas,69912
2018,Tom Davies,316077
2018,Harry Arter,67807
2018,Danny Welbeck,39308
2018,Davide Zappacosta,141312
2018,Aaron Lennon,5625
2018,Oliver Skipp,364215
2018,Grady Diangana,306943
2018,José Izquierdo,243548
2018,Mousa Dembélé,12187
2018,Eric Bailly,243814
2018,Kadeem Harris,135772
2018,Tyrone Mings,123167
2018,Nampalys Mendy,90278
2018,Angus Gunn,318896
2018,Lewis Cook,136456
2018,Fraser Forster,29796
2018,James McCarthy,31281
2018,Hélder Costa,118127
2018,Diego Rico,323352
2018,Andre Gray,131487
2018,Chris Löwe,101664
2018,Tom Cleverley,69956
2018,Ivan Cavaleiro,137386
2018,Aboubakar Kamara,243076
2018,Alex Oxlade Chamberlain,84146
2018,Leandro Bacuna,79967
2018,Alireza Jahanbakhsh,133390
2018,Erik Durm,115165
2018,Andy Carroll,23383
2018,Timothy Fosu-Mensah,312739
2018,Jordon Ibe,105797
2018,Andrew Surman,13447
2018,Isaac Success,145940
2018,Joel Coleman,135179
2018,Lucas Pérez,135663
2018,Rajiv van La Parra,42947
2018,Çaglar Söyüncü,317998
2018,Carl Jenkinson,91879
2018,Kenneth Zohore,83621
2018,Gaëtan Bong,32720
2018,Jason Puncheon,9156
2018,Vincent Janssen,133381
2018,Tim Ream,85006
2018,Danny Ward,78471
2018,Nathaniel Clyne,69375
2018,Håvard Nordtveit,21742
2018,Leighton Baines,8222
2018,Eddie Nketiah,345845
2018,Andrii Yarmolenko,41672
2018,Cesc Fàbregas,8040
2018,Stephan Lichtsteiner,15302
2018,Jürgen Locadia,107622
2018,Jeff Hendrick,86454
2018,Charlie Austin,82102
2018,Callum Slattery,368415
2018,Andreas Pereira,243254
2018,Jacob Murphy,141486
2018,Asmir Begovic,23122
2018,Peter Crouch,3807
2018,Manolo Gabbiadini,74921
2018,Robert Brady,93473
2018,Tommy Smith,135837
2018,Floyd Ayité,42572
2018,Yoshinori Muto,132210
2018,Florin Andone,255183
2018,Kelechi Iheanacho,289253
2018,Laurent Depoitre,106880
2018,Iborra,34052
2018,Adrien Silva,32598
2018,Morgan Gibbs-White,332867
2018,Ben Johnson,349484
2018,Fousseni Diabaté,332135
2018,Steven Defour,19155
2018,Ramadan Sobhi,260289
2018,Matej Vydra,84129
2018,Josh Sims,330916
2018,Connor Wickham,73382
2018,Alexander Sørloth,302497
2018,Denis Suárez,106525
2018,Abdelhamid Sabiri,333255
2018,Kevin McDonald,20100
2018,Marc Navarro,280157
2018,Marcos Rojo,70050
2018,Joe Willock,342563
2018,Elias Kachunga,92804
2018,Lazar Markovic,105577
2018,Isaac Mbenza,296317
2018,Léo Bonatini,137269
2018,Neeskens Kebano,94933
2018,Luke Amos,329492
2018,Xande Silva,323096
2018,Gary Cahill,11981
2018,Miguel Britos,36096
2018,Demeaco Duhaney,349568
2018,Lys Mousset,296332
2018,Shinji Okazaki,26222
2018,Bukayo Saka,367185
