Rank,Name,Position,Team,Weekly Salary
,Kevin Stewart,Midfielder,LFC,16000
,Tommie Hoban,Defender,WAT,16000
279.0,Ciaran Clark,Defender,AVFC,15000
,David Stockdale,Goalkeeper,BHA,15000
,Rouwen Hennings,Forward,BFC,15000
,Matt Miazga,Defender,CFC,15000
,Jonny Williams,Midfielder,CP,15000
,Shani Tarashaj,Forward,EFC,15000
,Joe Gomez,Defender,LFC,15000
,Ruben Sobrino,Forward,MCFC,15000
,Jamaal Lascelles,Defender,NUFC,15000
,Kyle Bartley,Defender,SCAFC,15000
,Juan Carlos Paredes,Defender,WAT,15000
,Doneil Henry,Defender,WHUFC,15000
291.0,Benik Afobe,Forward,BOU,13500
292.0,Craig Cathcart,Defender,WAT,13000
,Obbi Oulare,Forward,WAT,13000
294.0,Demarai Gray,Forward,LC,12500
295.0,Adam Smith,Defender,BOU,12000
,Fredrik Ulvestad,Midfielder,BFC,12000
,Charly Musonda,Midfielder,CFC,12000
,Ben Hamer,Goalkeeper,LC,12000
,Curtis Good,Defender,NUFC,12000
,Sam Gallagher,Forward,SFC,12000
,Harrison Reed,Midfielder,SFC,12000
,Jack Stephens,Defender,SFC,12000
303.0,Artur Boruc,Goalkeeper,BOU,10000
,Matt Macey,Goalkeeper,AFC,10000
,Emiliano Martinez,Goalkeeper,AFC,10000
,Nathan Baker,Defender,AVFC,10000
,Nicklas Helenius,Forward,AVFC,10000
,Tendayi Darikwa,Defender,BFC,10000
,Leandro Rodriguez,Forward,EFC,10000
,Joe Lolley,Forward,HUD,10000
,Jordon Ibe,Midfielder,LFC,10000
,Sheyi Ojo,Forward,LFC,10000
,Patrick Roberts,Forward,MCFC,10000
,Matt Targett,Defender,SFC,10000
,Jakob Haugaard,Goalkeeper,SCFC,10000
,Matt Grimes,Midfielder,SCAFC,10000
,Giedrius Arlauskis,Goalkeeper,WAT,10000
318.0,Kazenga Lualua,Midfielder,BHA,9000
319.0,Richie Towell,Forward,BHA,8000
,Jamal Blackman,Goalkeeper,CFC,8000
,Nahki Wells,Forward,HUD,8000
,Josh Cullen,Midfielder,WHUFC,8000
,Dominic Iorfa,Defender,WWFC,8000
324.0,Jed Steer,Goalkeeper,AVFC,7284
325.0,Junior Stanislas,Midfielder,BOU,7000
,Rohan Ince,Midfielder,BHA,7000
,Elvis Manu,Forward,BHA,7000
,Dominic Solanke,Forward,CFC,7000
329.0,Steve Cook,Defender,BOU,6000
,Tammy Abraham,Forward,CFC,6000
,Cristian Cuevas,Defender,CFC,6000
,Tom Davies,Midfielder,EFC,6000
333.0,Stuart O'Keefe,Midfielder,CCFC,5500
334.0,Harry Arter,Midfielder,BOU,5000
,Nathaniel Chalobah,Midfielder,CFC,5000
,Jason Davidson,Defender,HUD,5000
,Jordi Hiwula,Forward,HUD,5000
,Dean Whitehead,Midfielder,HUD,5000
,Tosin Adarabioyo,Defender,MCFC,5000
,Aleix Garcia,Midfielder,MCFC,5000
,Pablo Maffeo,Defender,MCFC,5000
,Josh Harrop,Midfielder,MUFC,5000
,Joel Castro Pereira,Goalkeeper,MUFC,5000
,Ivan Toney,Forward,NUFC,5000
,Oliver McBurnie,Forward,SCAFC,5000
,Joshua Onomah,Midfielder,THFC,5000
347.0,Krystian Bielik,Defender,AFC,4000
,Chris Long,Forward,BFC,4000
,Harry Bunn,Forward,HUD,4000
,Harry Wilson,Midfielder,LFC,4000
,Kenji Gorre,Forward,SCAFC,4000
352.0,Baily Cargill,Defender,BOU,3000
,Kyle Scott,Midfielder,CFC,3000
,Sullay Kaikai,Midfielder,CP,3000
,Matthew Pennington,Defender,EFC,3000
,Tom Lawrence,Forward,LC,3000
,Cameron Brannagan,Midfielder,LFC,3000
,Harry Souttar,Defender,SCFC,3000
,Reece Burke,Defender,WHUFC,3000
360.0,Ryan Fraser,Midfielder,BOU,2000
,Jeff Reine-Adelaide,Midfielder,AFC,2000
,Trent Alexander-Arnold,Defender,LFC,2000
,Connor Randall,Defender,LFC,2000
,Alex Palmer,Goalkeeper,WBAFC,2000
,Sebastien Pocognoli,Defender,WBAFC,2000
366.0,Josh Dasilva,Forward,AFC,1000
,Henrik Bjordal,Forward,BHA,1000
,Flo Bojaj,Forward,HUD,1000
,Luke Brattan,Midfielder,MCFC,1000
370.0,Will Wood,Defender,SFC,800
371.0,Harry Cornick,Midfielder,BOU,750
372.0,Dan Agyei,Forward,BFC,700
373.0,Matt Butcher,Midfielder,BOU,600
,Jack Simpson,Defender,BOU,600
