No,Player,Team,Apps,Min,G,NPG,A,xG,NPxG,xA,xGChain,xGBuildup,xG90,NPxG90,xA90,xG90+xA90,NPxG90+xA90,xGChain90,xGBuildup90
8821,Donny van de Beek,Everton,15,545,2,2,0,1.51,1.51,0.44,2.92,1.04,0.25,0.25,0.07,0.32,0.32,0.48,0.17
8934,Trincao,Wolverhampton Wanderers,28,1359,2,2,1,3.6,3.6,1.49,6.44,2.26,0.24,0.24,0.1,0.34,0.34,0.43,0.15
8961,Ruben Dias,Manchester City,29,2403,2,2,4,2.54,2.54,3.16,16.94,16.12,0.09,0.09,0.12,0.21,0.21,0.63,0.6
9339,Joe Gelhardt,Leeds,20,700,2,2,2,3.8,3.8,1.81,5.51,0.72,0.49,0.49,0.23,0.72,0.72,0.71,0.09
9524,Anthony Elanga,Manchester United,21,1218,2,2,2,2.98,2.98,1.93,5.97,2.2,0.22,0.22,0.14,0.36,0.36,0.44,0.16
9733,Nathan Collins,Burnley,19,1671,2,2,0,1.65,1.65,1.48,1.54,1.13,0.09,0.09,0.08,0.17,0.17,0.08,0.06
9734,Enock Mwepu,Brighton,18,1009,2,2,4,2.0,2.0,1.58,3.61,2.08,0.18,0.18,0.14,0.32,0.32,0.32,0.19
9948,Michael Olise,Crystal Palace,26,1125,2,2,5,1.49,1.49,4.96,7.79,5.31,0.12,0.12,0.4,0.52,0.52,0.62,0.42
204,Granit Xhaka,Arsenal,27,2338,1,1,2,1.11,1.11,2.42,13.48,10.99,0.04,0.04,0.09,0.14,0.14,0.52,0.42
229,Thiago Alcantara,Liverpool,25,1531,1,1,4,1.63,1.63,2.58,12.87,10.55,0.1,0.1,0.15,0.25,0.25,0.76,0.62
462,Dan Gosling,Watford,4,167,1,1,0,0.2,0.2,0.05,0.23,0.05,0.11,0.11,0.03,0.13,0.13,0.12,0.03
508,Calum Chambers,Arsenal,13,1001,1,1,0,0.27,0.27,0.18,2.58,2.41,0.02,0.02,0.02,0.04,0.04,0.23,0.22
528,Angelo Ogbonna,West Ham,11,921,1,1,0,0.61,0.61,0.0,1.01,0.96,0.06,0.06,0.0,0.06,0.06,0.1,0.09
530,James Tomkins,Crystal Palace,8,540,1,1,0,0.69,0.69,0.35,0.49,0.41,0.11,0.11,0.06,0.17,0.17,0.08,0.07
533,Mark Noble,West Ham,11,321,1,0,0,1.52,0.0,0.02,2.26,2.24,0.43,0.0,0.01,0.43,0.01,0.63,0.63
553,Anthony Martial,Manchester United,8,202,1,1,0,1.17,1.17,0.0,2.62,2.1,0.52,0.52,0.0,0.52,0.52,1.17,0.93
585,Seamus Coleman,Everton,30,2663,1,1,0,1.17,1.17,0.8,5.38,3.76,0.04,0.04,0.03,0.07,0.07,0.18,0.13
586,John Stones,Manchester City,14,1114,1,1,0,1.21,1.21,0.16,6.59,6.44,0.1,0.1,0.01,0.11,0.11,0.53,0.52
592,Ross Barkley,Chelsea,6,169,1,1,0,1.36,1.36,0.66,3.72,2.18,0.72,0.72,0.35,1.08,1.08,1.98,1.16
645,Dele Alli,Everton,21,978,1,0,0,1.53,0.77,1.13,2.96,1.54,0.14,0.07,0.1,0.24,0.17,0.27,0.14
646,Christian Eriksen,Brentford,11,935,1,1,4,1.4,1.4,3.73,4.99,2.91,0.14,0.14,0.36,0.49,0.49,0.48,0.28
660,Ben Davies,Tottenham,29,2542,1,1,1,2.48,2.48,0.65,13.49,12.49,0.09,0.09,0.02,0.11,0.11,0.48,0.44
