Name,Team,Age,Position,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,Rating
Sean Longstaff,Newcastle,25,Midfielder,9,688,1.8888888888888888,1.1111111111111112,0.7777777777777778,0.0,0.7777777777777778,1.6666666666666667,0.4444444444444444,6.8566666666666665
Mario Lemina,Southampton,29,Midfielder,21,1616,2.3333333333333335,2.0476190476190474,1.4761904761904763,0.0,1.4285714285714286,0.9047619047619048,0.14285714285714285,6.854761904761905
Sèrge Aurier,Tottenham,30,Defender,8,564,2.5,0.875,2.125,0.5,2.125,0.875,0.25,6.852500000000001
Jonny Otto,Wolves,29,Defender,33,2780,2.393939393939394,1.8181818181818181,0.696969696969697,0.18181818181818182,1.606060606060606,0.8787878787878788,0.24242424242424243,6.851515151515151
James Tomkins,Crystal Palace,34,Defender,29,2563,1.1724137931034482,1.1724137931034482,0.5517241379310345,0.6206896551724138,6.241379310344827,0.4482758620689655,0.3448275862068966,6.848965517241378
Ruben Loftus-Cheek,Chelsea,27,Midfielder,24,985,0.75,0.4583333333333333,0.4166666666666667,0.041666666666666664,0.20833333333333334,0.375,0.16666666666666666,6.847083333333334
Maya Yoshida,Southampton,35,Defender,17,1520,0.9411764705882353,2.4705882352941178,0.23529411764705882,0.5882352941176471,5.882352941176471,0.5294117647058824,1.1764705882352942,6.846470588235294
Michel Vorm,Tottenham,39,Goalkeeper,2,180,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.845000000000001
Gerard Deulofeu,Watford,29,Forward,30,2083,0.36666666666666664,0.4666666666666667,0.4666666666666667,0.0,0.1,0.7333333333333333,0.0,6.844666666666668
Romelu Lukaku,Man Utd,30,Forward,32,2130,0.25,0.0625,0.5625,0.0,0.59375,0.25,0.03125,6.840937500000001
Danny Rose,Tottenham,33,Defender,26,1798,1.8846153846153846,0.9230769230769231,1.0,0.15384615384615385,0.7692307692307693,0.46153846153846156,0.15384615384615385,6.836538461538463
Marko Arnautovic,West Ham,34,Forward,28,2001,0.32142857142857145,0.10714285714285714,1.0714285714285714,0.0,0.17857142857142858,0.21428571428571427,0.07142857142857142,6.836428571428572
Toby Alderweireld,Tottenham,34,Defender,34,2924,1.088235294117647,0.7058823529411765,0.29411764705882354,0.5588235294117647,4.911764705882353,0.29411764705882354,0.6470588235294118,6.835588235294118
David Brooks,Bournemouth,26,Midfielder,30,2278,1.2333333333333334,0.8,0.5,0.03333333333333333,0.7666666666666667,0.8333333333333334,0.23333333333333334,6.833333333333332
Georges-Kévin Nkoudou,Tottenham,28,Midfielder,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.83
Danny Ings,Southampton,31,Forward,24,1668,1.25,0.20833333333333334,0.6666666666666666,0.0,0.2916666666666667,0.7083333333333334,0.08333333333333333,6.827083333333333
Davinson Sánchez,Tottenham,27,Defender,23,1943,1.608695652173913,1.3043478260869565,0.8695652173913043,1.0869565217391304,4.391304347826087,0.7391304347826086,0.391304347826087,6.826956521739129
Willy Caballero,Chelsea,41,Goalkeeper,2,180,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.825
Callum Paterson,Cardiff,28,Forward,27,1996,0.7777777777777778,0.2962962962962963,1.5185185185185186,0.0,1.037037037037037,0.7777777777777778,0.07407407407407407,6.822592592592592
Calum Chambers,Fulham,28,Defender,31,2587,2.064516129032258,2.225806451612903,1.096774193548387,0.3225806451612903,3.4516129032258065,1.032258064516129,0.3870967741935484,6.818709677419355
Fabian Delph,Man City,33,Midfielder,11,725,2.090909090909091,1.1818181818181819,0.5454545454545454,0.2727272727272727,1.5454545454545454,1.0,0.0,6.815454545454546
Sokratis Papastathopoulos,Arsenal,35,Defender,25,2199,1.68,1.04,1.48,0.68,4.32,0.52,0.68,6.815200000000002
Phil Jones,Man Utd,31,Defender,18,1264,1.0555555555555556,1.2777777777777777,0.4444444444444444,0.5555555555555556,3.4444444444444446,0.2777777777777778,0.6111111111111112,6.811111111111112
James McArthur,Crystal Palace,35,Midfielder,38,3072,2.210526315789474,1.0263157894736843,1.605263157894737,0.05263157894736842,1.1578947368421053,1.263157894736842,0.5789473684210527,6.803157894736843
Jonjo Shelvey,Newcastle,31,Midfielder,16,944,1.375,0.4375,1.0,0.0,0.8125,0.5625,0.1875,6.80125
Jamaal Lascelles,Newcastle,29,Defender,32,2748,1.0,1.21875,0.5,0.53125,6.625,0.09375,0.875,6.7984375
Ashley Westwood,Burnley,33,Midfielder,34,2822,1.7058823529411764,1.3823529411764706,0.8823529411764706,0.0,1.1764705882352942,0.7352941176470589,0.2647058823529412,6.795588235294117
Solly March,Brighton,29,Midfielder,35,2475,1.6,0.7714285714285715,0.8285714285714286,0.0,0.7428571428571429,0.7428571428571429,0.11428571428571428,6.79257142857143
Alisson Becker,Liverpool,30,Goalkeeper,38,3420,0.05263157894736842,0.02631578947368421,0.0,0.0,0.8157894736842105,0.0,0.0,6.7892105263157925
Chris Smalling,Man Utd,33,Defender,24,2128,1.25,1.0833333333333333,0.9166666666666666,0.5416666666666666,4.416666666666667,0.25,1.0416666666666667,6.787499999999999
Antonio Rüdiger,Chelsea,30,Defender,33,2874,1.0303030303030303,0.9696969696969697,0.8484848484848485,0.6363636363636364,2.878787878787879,0.36363636363636365,0.24242424242424243,6.783030303030305
Ben Gibson,Burnley,30,Defender,1,63,1.0,0.0,2.0,0.0,2.0,0.0,1.0,6.78
Jonjoe Kenny,Everton,26,Defender,10,790,2.1,1.7,1.0,0.7,3.0,0.8,0.2,6.7780000000000005
Robert Snodgrass,West Ham,35,Midfielder,33,2224,1.3333333333333333,0.3333333333333333,1.0909090909090908,0.06060606060606061,0.5454545454545454,1.0,0.12121212121212122,6.7775757575757565
Mesut Özil,Arsenal,34,Midfielder,24,1742,0.5,0.16666666666666666,0.4166666666666667,0.0,0.16666666666666666,0.75,0.08333333333333333,6.7775
Kurt Zouma,Everton,28,Defender,32,2613,1.0,1.6875,0.625,0.59375,3.75,0.21875,0.375,6.775
Erik Lamela,Tottenham,31,Midfielder,19,973,0.8947368421052632,0.3684210526315789,1.2105263157894737,0.0,0.05263157894736842,0.47368421052631576,0.0,6.773157894736842
Zanka,Huddersfield,33,Defender,24,2148,2.0416666666666665,2.875,1.375,0.5,3.4166666666666665,0.7916666666666666,0.5833333333333334,6.771250000000001
Joe Bennett,Cardiff,33,Defender,30,2641,1.6666666666666667,2.0,0.6666666666666666,0.1,2.8,0.5333333333333333,0.26666666666666666,6.77
Ryan Bennett,Wolves,33,Defender,34,3060,1.7058823529411764,1.2647058823529411,1.088235294117647,0.23529411764705882,3.6470588235294117,0.47058823529411764,0.6176470588235294,6.768235294117648
Simon Francis,Bournemouth,38,Defender,17,1230,1.4705882352941178,1.0588235294117647,0.6470588235294118,0.23529411764705882,3.8823529411764706,0.7058823529411765,0.4117647058823529,6.767058823529412
Ryan Fredericks,West Ham,30,Defender,15,1086,2.533333333333333,0.8666666666666667,0.6,0.3333333333333333,2.6,0.7333333333333333,0.3333333333333333,6.764666666666668
Nemanja Matic,Man Utd,35,Midfielder,28,2441,1.7857142857142858,1.1071428571428572,0.9642857142857143,0.0,1.8571428571428572,1.0357142857142858,0.6428571428571429,6.7625
Wesley Hoedt,Southampton,29,Defender,13,1170,2.1538461538461537,1.7692307692307692,1.1538461538461537,0.6923076923076923,5.846153846153846,0.6923076923076923,1.0,6.761538461538462
Oriol Romeu,Southampton,31,Midfielder,31,2142,2.6129032258064515,1.6774193548387097,1.4838709677419355,0.06451612903225806,1.1612903225806452,1.4516129032258065,0.5483870967741935,6.76
Hamza Choudhury,Leicester,25,Midfielder,9,597,2.6666666666666665,1.6666666666666667,0.7777777777777778,0.0,1.3333333333333333,0.6666666666666666,0.3333333333333333,6.759999999999999
Abdoulaye Doucouré,Watford,30,Midfielder,35,3062,2.0285714285714285,0.9714285714285714,1.0285714285714285,0.02857142857142857,1.542857142857143,1.0857142857142856,0.22857142857142856,6.759428571428571
Joe Gomez,Liverpool,26,Defender,16,1060,1.0625,0.875,0.75,0.4375,2.4375,0.375,0.3125,6.75625
Miguel Almirón,Newcastle,29,Midfielder,10,763,2.0,0.8,0.6,0.0,0.4,0.6,0.1,6.756
Ashley Barnes,Burnley,33,Forward,37,2388,0.7567567567567568,0.05405405405405406,1.4594594594594594,0.0,0.6486486486486487,0.6216216216216216,0.21621621621621623,6.752702702702704
