Name,Team,Age,Position,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating
Danny Ings,Southampton,31,Forward,24,1668,7,3,2.3333333333333335,1.1666666666666667,0.8333333333333334,0.9166666666666666,0.25,1.2083333333333333,2.25,6.827083333333333
Davinson Sánchez,Tottenham,27,Defender,23,1943,1,1,0.6086956521739131,0.17391304347826086,0.043478260869565216,0.43478260869565216,0.0,0.08695652173913043,0.34782608695652173,6.826956521739129
Willy Caballero,Chelsea,41,Goalkeeper,2,180,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.825
Callum Paterson,Cardiff,28,Forward,27,1996,4,1,1.5185185185185186,0.8518518518518519,0.18518518518518517,1.1111111111111112,0.37037037037037035,0.4444444444444444,1.1481481481481481,6.822592592592592
Calum Chambers,Fulham,28,Defender,31,2587,2,0,1.1290322580645162,0.5161290322580645,0.7096774193548387,0.12903225806451613,0.0,0.8387096774193549,1.032258064516129,6.818709677419355
Fabian Delph,Man City,33,Midfielder,11,725,0,1,0.36363636363636365,0.2727272727272727,0.7272727272727273,0.6363636363636364,0.0,0.09090909090909091,0.9090909090909091,6.815454545454546
Sokratis Papastathopoulos,Arsenal,35,Defender,25,2199,1,2,0.44,0.2,0.24,1.0,0.0,0.2,0.32,6.815200000000002
Phil Jones,Man Utd,31,Defender,18,1264,0,1,0.2777777777777778,0.16666666666666666,0.16666666666666666,0.5555555555555556,0.0,0.1111111111111111,0.5,6.811111111111112
James McArthur,Crystal Palace,35,Midfielder,38,3072,3,6,0.8947368421052632,0.8157894736842105,0.5263157894736842,1.0263157894736843,0.05263157894736842,0.9473684210526315,1.4210526315789473,6.803157894736843
Jonjo Shelvey,Newcastle,31,Midfielder,16,944,1,1,1.4375,1.5625,0.625,0.3125,0.0,0.25,0.5,6.80125
Jamaal Lascelles,Newcastle,29,Defender,32,2748,0,1,0.34375,0.09375,0.03125,0.28125,0.03125,0.15625,0.28125,6.7984375
Ashley Westwood,Burnley,33,Midfielder,34,2822,2,7,0.6470588235294118,1.2352941176470589,0.23529411764705882,0.6470588235294118,0.029411764705882353,0.5,0.8529411764705882,6.795588235294117
Solly March,Brighton,29,Midfielder,35,2475,1,5,1.2285714285714286,1.1714285714285715,1.4,0.8571428571428571,0.17142857142857143,1.1714285714285715,1.3142857142857143,6.79257142857143
Alisson Becker,Liverpool,30,Goalkeeper,38,3420,0,0,0.0,0.0,0.05263157894736842,0.02631578947368421,0.0,0.02631578947368421,0.0,6.7892105263157925
Chris Smalling,Man Utd,33,Defender,24,2128,1,0,0.4583333333333333,0.08333333333333333,0.041666666666666664,0.3333333333333333,0.08333333333333333,0.041666666666666664,0.25,6.787499999999999
Antonio Rüdiger,Chelsea,30,Defender,33,2874,1,0,0.8181818181818182,0.24242424242424243,0.12121212121212122,0.45454545454545453,0.030303030303030304,0.2727272727272727,0.24242424242424243,6.783030303030305
Ben Gibson,Burnley,30,Defender,1,63,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.78
Jonjoe Kenny,Everton,26,Defender,10,790,0,1,0.3,0.6,0.5,0.1,0.0,0.9,0.7,6.7780000000000005
Robert Snodgrass,West Ham,35,Midfielder,33,2224,2,5,0.9090909090909091,1.7878787878787878,1.0,1.4848484848484849,0.09090909090909091,1.303030303030303,1.8181818181818181,6.7775757575757565
Mesut Özil,Arsenal,34,Midfielder,24,1742,5,2,0.4583333333333333,1.875,0.875,0.9166666666666666,0.4166666666666667,1.4166666666666667,2.0416666666666665,6.7775
