No,Player,Team,Apps,Min,G,NPG,A,xG,NPxG,xA,xGChain,xGBuildup,xG90,NPxG90,xA90,xG90+xA90,NPxG90+xA90,xGChain90,xGBuildup90
6046,Bruno,Brighton,14,1150,0,0,1,0.07,0.07,0.59,2.22,1.70,0.01,0.01,0.05,0.05,0.05,0.17,0.13
6054,Ederson,Manchester City,38,3420,0,0,1,0.00,0.00,0.07,7.60,7.55,0.00,0.00,0.00,0.00,0.00,0.20,0.20
6063,Jacob Murphy,Newcastle United,9,293,0,0,1,0.03,0.03,0.61,0.64,0.00,0.01,0.01,0.19,0.20,0.20,0.20,0.00
6105,Gaëtan Bong,Brighton,22,1802,0,0,0,0.07,0.07,0.48,3.71,3.53,0.00,0.00,0.02,0.03,0.03,0.19,0.18
6231,José Izquierdo,Brighton,15,803,0,0,1,0.62,0.62,0.47,1.14,0.31,0.07,0.07,0.05,0.12,0.12,0.13,0.03
6296,Abdelhamid Sabiri,Huddersfield,2,51,0,0,0,0.00,0.00,0.00,0.03,0.03,0.00,0.00,0.00,0.00,0.00,0.05,0.05
6301,Jonathan Hogg,Huddersfield,29,2392,0,0,1,0.26,0.26,0.73,2.72,2.15,0.01,0.01,0.03,0.04,0.04,0.10,0.08
6410,Jack Simpson,Bournemouth,6,407,0,0,0,0.37,0.37,0.00,0.35,0.35,0.08,0.08,0.00,0.08,0.08,0.08,0.08
6418,Hamza Choudhury,Leicester,9,597,0,0,0,0.47,0.47,0.51,1.99,1.07,0.07,0.07,0.08,0.15,0.15,0.30,0.16
6424,Ben Johnson,West Ham,1,64,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6434,Franck Zambo,Fulham,22,1515,0,0,0,0.65,0.65,0.25,6.87,6.33,0.04,0.04,0.01,0.05,0.05,0.41,0.38
6456,Callum Hudson-Odoi,Chelsea,10,390,0,0,1,0.99,0.99,1.57,3.42,1.08,0.23,0.23,0.36,0.59,0.59,0.79,0.25
6457,Emerson Hyndman,Bournemouth,1,34,0,0,0,0.00,0.00,0.00,0.05,0.05,0.00,0.00,0.00,0.00,0.00,0.14,0.14
6464,Adrien Silva,Leicester,2,86,0,0,0,0.00,0.00,0.00,0.12,0.12,0.00,0.00,0.00,0.00,0.00,0.12,0.12
6531,Alexander Sørloth,Crystal Palace,12,156,0,0,0,0.46,0.46,0.69,1.22,0.19,0.26,0.26,0.40,0.66,0.66,0.70,0.11
6532,Martin Dubravka,Newcastle United,38,3420,0,0,0,0.00,0.00,0.00,3.69,3.69,0.00,0.00,0.00,0.00,0.00,0.10,0.10
6630,Joe Willock,Arsenal,2,66,0,0,0,0.13,0.13,0.00,0.13,0.00,0.18,0.18,0.00,0.18,0.18,0.18,0.00
6651,Grady Diangana,West Ham,17,602,0,0,1,0.64,0.64,1.22,2.30,1.25,0.10,0.10,0.18,0.28,0.28,0.34,0.19
6666,Rafael Camacho,Liverpool,1,1,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6722,Konstantinos Mavropanos,Arsenal,4,149,0,0,0,0.10,0.10,0.57,0.33,0.33,0.06,0.06,0.34,0.40,0.40,0.20,0.20
6819,Luke Amos,Tottenham,1,1,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6821,Neil Etheridge,Cardiff,38,3420,0,0,0,0.00,0.00,0.09,1.57,1.47,0.00,0.00,0.00,0.00,0.00,0.04,0.04
6822,Lee Peltier,Cardiff,20,1539,0,0,0,0.04,0.04,0.07,1.67,1.65,0.00,0.00,0.00,0.01,0.01,0.10,0.10
6825,Joe Ralls,Cardiff,28,1961,0,0,0,1.37,0.61,3.60,3.72,2.59,0.06,0.03,0.17,0.23,0.19,0.17,0.12
6829,Gary Madine,Cardiff,5,23,0,0,0,0.00,0.00,0.00,0.06,0.06,0.00,0.00,0.00,0.00,0.00,0.25,0.25
6831,Greg Cunningham,Cardiff,7,630,0,0,0,0.07,0.07,0.22,0.43,0.26,0.01,0.01,0.03,0.04,0.04,0.06,0.04
6833,Cyrus Christie,Fulham,28,1932,0,0,1,0.39,0.39,1.20,4.81,4.05,0.02,0.02,0.06,0.07,0.07,0.22,0.19
6834,Joe Bryan,Fulham,28,2364,0,0,1,0.55,0.55,4.40,7.16,4.91,0.02,0.02,0.17,0.19,0.19,0.27,0.19
6836,Kevin McDonald,Fulham,15,843,0,0,0,0.11,0.11,0.10,1.97,1.83,0.01,0.01,0.01,0.02,0.02,0.21,0.20
6838,Stefan Johansen,Fulham,12,406,0,0,0,0.04,0.04,0.05,0.77,0.72,0.01,0.01,0.01,0.02,0.02,0.17,0.16
6839,Ibrahima Cissé,Fulham,3,85,0,0,0,0.00,0.00,0.00,0.02,0.02,0.00,0.00,0.00,0.00,0.00,0.02,0.02
6840,Neeskens Kebano,Fulham,7,93,0,0,0,0.05,0.05,0.00,0.09,0.04,0.05,0.05,0.00,0.05,0.05,0.09,0.04
6842,Alireza Jahanbakhsh,Brighton,19,1021,0,0,0,0.70,0.70,0.19,1.11,0.45,0.06,0.06,0.02,0.08,0.08,0.10,0.04
6843,David Button,Brighton,4,360,0,0,0,0.00,0.00,0.00,0.13,0.13,0.00,0.00,0.00,0.00,0.00,0.03,0.03
6849,Rui Patrício,Wolverhampton Wanderers,37,3330,0,0,0,0.00,0.00,0.00,1.18,1.18,0.00,0.00,0.00,0.00,0.00,0.03,0.03
6851,Conor Coady,Wolverhampton Wanderers,38,3420,0,0,0,0.00,0.00,0.01,6.79,6.78,0.00,0.00,0.00,0.00,0.00,0.18,0.18
6855,Léo Bonatini,Wolverhampton Wanderers,7,117,0,0,1,1.55,1.55,0.16,2.56,0.92,1.19,1.19,0.12,1.31,1.31,1.97,0.71
6856,Rúben Vinagre,Wolverhampton Wanderers,17,697,0,0,0,0.45,0.45,0.87,3.11,1.94,0.06,0.06,0.11,0.17,0.17,0.40,0.25
6857,Morgan Gibbs-White,Wolverhampton Wanderers,26,628,0,0,1,0.99,0.99,1.30,3.63,1.96,0.14,0.14,0.19,0.33,0.33,0.52,0.28
6894,Mohamed Elyounoussi,Southampton,16,786,0,0,0,2.21,2.21,1.14,3.53,1.05,0.25,0.25,0.13,0.38,0.38,0.40,0.12
7076,Marcus Bettinelli,Fulham,7,630,0,0,0,0.00,0.00,0.00,0.39,0.39,0.00,0.00,0.00,0.00,0.00,0.06,0.06
7077,Denis Odoi,Fulham,31,2591,0,0,1,0.72,0.72,0.57,4.54,4.09,0.03,0.03,0.02,0.04,0.04,0.16,0.14
7184,Tim Ream,Fulham,26,2057,0,0,0,0.02,0.02,0.24,2.76,2.52,0.00,0.00,0.01,0.01,0.01,0.12,0.11
7198,Oliver Skipp,Tottenham,8,207,0,0,0,0.06,0.06,0.03,0.48,0.48,0.02,0.02,0.01,0.04,0.04,0.21,0.21
7215,Loïc Damour,Cardiff,2,17,0,0,0,0.03,0.03,0.00,0.45,0.42,0.17,0.17,0.00,0.17,0.17,2.39,2.22
7216,Ben Wilmot,Watford,2,24,0,0,0,0.00,0.00,0.00,0.09,0.09,0.00,0.00,0.00,0.00,0.00,0.34,0.34
7281,Diogo Dalot,Manchester United,16,1015,0,0,2,0.72,0.72,2.73,4.42,2.37,0.06,0.06,0.24,0.31,0.31,0.39,0.21
7312,Xande Silva,West Ham,1,15,0,0,0,0.07,0.07,0.01,0.08,0.00,0.42,0.42,0.08,0.50,0.50,0.50,0.00
7314,Tyreke Johnson,Southampton,1,1,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7322,Bukayo Saka,Arsenal,1,6,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7326,Kayne Ramsay,Southampton,1,90,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7332,Max Kilman,Wolverhampton Wanderers,1,1,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7335,Callum Slattery,Southampton,3,107,0,0,0,0.10,0.10,0.00,0.26,0.16,0.08,0.08,0.00,0.08,0.08,0.22,0.14
7340,Rhys Healey,Cardiff,3,30,0,0,0,0.04,0.04,0.03,0.31,0.23,0.13,0.13,0.10,0.23,0.23,0.92,0.69
7384,Chris Mepham,Bournemouth,13,850,0,0,1,0.05,0.05,0.69,0.96,0.95,0.01,0.01,0.07,0.08,0.08,0.10,0.10
7420,Miguel Almirón,Newcastle United,10,774,0,0,0,1.59,1.59,0.69,3.57,1.51,0.19,0.19,0.08,0.27,0.27,0.42,0.18
7437,Demeaco Duhaney,Huddersfield,1,49,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7438,James Garner,Manchester United,1,1,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7439,Tahith Chong,Manchester United,2,35,0,0,0,0.29,0.29,0.00,0.49,0.20,0.76,0.76,0.00,0.76,0.76,1.26,0.51
7458,Matty Daly,Huddersfield,2,71,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7459,Will Norris,Wolverhampton Wanderers,1,1,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7487,Aaron Rowe,Huddersfield,2,68,0,0,0,0.00,0.00,0.00,0.02,0.02,0.00,0.00,0.00,0.00,0.00,0.03,0.03
7490,Mason Greenwood,Manchester United,3,111,0,0,0,0.80,0.80,0.07,1.02,0.69,0.65,0.65,0.06,0.71,0.71,0.83,0.56
7546,Harvey Elliott,Fulham,2,16,0,0,0,0.06,0.06,0.00,0.10,0.04,0.32,0.32,0.00,0.32,0.32,0.54,0.22
7582,Mark Travers,Bournemouth,2,180,0,0,0,0.00,0.00,0.00,0.97,0.97,0.00,0.00,0.00,0.00,0.00,0.48,0.48
