,Player Id,Name,Birth Year,Age,Team,Position,year
2005,96257,Christian Atsu,1992,25,Newcastle,Midfielder,2017
2006,136896,Florent Hadergjonaj,1994,23,Huddersfield,Defender,2017
2007,11530,Ben Foster,1983,34,WBA,Goalkeeper,2017
2008,109227,Javier Manquillo,1994,23,Newcastle,Defender,2017
2009,118326,Dwight Gayle,1990,27,Newcastle,Forward,2017
2010,333311,Thomas Edwards,1999,18,Stoke,Defender,2017
2011,42705,Wilfried Bony,1989,28,Swansea,Forward,2017
2012,143990,Harry Winks,1996,21,Tottenham,Midfielder,2017
2013,332325,Declan Rice,1999,18,West Ham,Midfielder,2017
2014,22932,Nordin Amrabat,1987,30,Watford,Forward,2017
2015,52197,Simon Mignolet,1988,29,Liverpool,Goalkeeper,2017
2016,5835,Darren Fletcher,1984,33,Stoke,Midfielder,2017
2017,92508,Lucas Moura,1992,25,Tottenham,Forward,2017
2018,336915,Scott McTominay,1997,20,Man Utd,Midfielder,2017
2019,145277,Philip Billing,1996,21,Huddersfield,Midfielder,2017
2020,289253,Kelechi Iheanacho,1997,20,Leicester,Forward,2017
2021,75138,Danny Drinkwater,1990,27,Chelsea,Midfielder,2017
2022,10498,James Morrison,1986,31,WBA,Midfielder,2017
2023,67807,Harry Arter,1990,27,Bournemouth,Midfielder,2017
2024,317243,Sam Field,1998,19,WBA,Midfielder,2017
2025,125209,Mohamed Elneny,1992,25,Arsenal,Midfielder,2017
2026,332135,Fousseni Diabate,1996,21,Leicester,Forward,2017
2027,299450,Renato Sanches,1997,20,Swansea,Midfielder,2017
2028,29595,Moussa Sissoko,1989,28,Tottenham,Midfielder,2017
2029,17708,Tom Heaton,1986,31,Burnley,Goalkeeper,2017
2030,13938,Sam Vokes,1990,27,Burnley,Forward,2017
2031,33477,Markus Suttner,1987,30,Brighton,Defender,2017
2032,92804,Elias Kachunga,1992,25,Huddersfield,Forward,2017
2033,260289,Ramadan Sobhi,1997,20,Stoke,Midfielder,2017
2035,90918,Tom Ince,1992,25,Huddersfield,Midfielder,2017
2036,136945,Demarai Gray,1996,21,Leicester,Forward,2017
2037,35691,Claudio Yacob,1987,30,WBA,Midfielder,2017
2038,342564,Reiss Nelson,2000,17,Arsenal,Forward,2017
2039,44687,Martin Kelly,1990,27,Crystal Palace,Defender,2017
2040,115279,Aleksandar Mitrovic,1995,22,Newcastle,Forward,2017
2041,106028,Jese,1993,24,Stoke,Forward,2017
2042,90810,Bruno Martins Indi,1992,25,Stoke,Defender,2017
2043,260451,Sullay Kaikai,1995,22,Crystal Palace,Forward,2017
2045,79050,Ashley Westwood,1990,27,Burnley,Midfielder,2017
2046,316077,Tom Davies,1998,19,Everton,Midfielder,2017
2047,34974,Bakary Sako,1988,29,Crystal Palace,Forward,2017
2048,32018,Andy King,1989,28,Swansea,Midfielder,2017
2049,317506,Tammy Abraham,1998,19,Swansea,Forward,2017
2050,136459,Dominic Solanke,1998,19,Liverpool,Forward,2017
2051,134258,Connor Goldson,1993,24,Brighton,Defender,2017
2052,32598,Adrien Silva,1989,28,Leicester,Midfielder,2017
2053,79442,Ezequiel Schelotto,1989,28,Brighton,Defender,2017
2054,130964,Edimilson Fernandes,1996,21,West Ham,Midfielder,2017
2055,90996,Collin Quaner,1991,26,Huddersfield,Forward,2017
2056,243552,Daniel Amartey,1995,22,Leicester,Defender,2017
2057,97803,Michy Batshuayi,1994,23,Chelsea,Forward,2017
2058,76050,James McClean,1989,28,WBA,Midfielder,2017
2059,74077,Scott Malone,1991,26,Huddersfield,Defender,2017
2060,2837,Jermain Defoe,1983,34,Bournemouth,Forward,2017
2061,350088,Callum Hudson-Odoi,2001,16,Chelsea,Forward,2017
2062,11869,Liam Rosenior,1984,33,Brighton,Defender,2017
2063,92547,Ross Barkley,1994,23,Chelsea,Midfielder,2017
2064,14179,Uwe Hunemeier,1986,31,Brighton,Defender,2017
2065,14255,Stefano Okaka,1989,28,Watford,Forward,2017
2066,121454,Ramiro Funes Mori,1991,26,Everton,Defender,2017
2067,343975,Nikola Vlasic,1998,19,Everton,Midfielder,2017
2068,135865,Connor Roberts,1996,21,Swansea,Defender,2017
2070,83335,Danny Williams,1989,28,Huddersfield,Midfielder,2017
2071,11624,Orestis Karnezis,1985,32,Watford,Goalkeeper,2017
2072,303172,Charly Musonda,1997,20,Chelsea,Midfielder,2017
2073,69844,Yannick Bolasie,1989,28,Everton,Forward,2017
2075,86454,Jeff Hendrick,1992,25,Burnley,Midfielder,2017
2076,91762,Danny Ings,1992,25,Liverpool,Forward,2017
2077,33748,Martin Olsson,1988,29,Swansea,Defender,2017
2078,69525,Luciano Narsingh,1991,26,Swansea,Forward,2017
2079,141246,Jairo Riedewald,1997,20,Crystal Palace,Midfielder,2017
